"event","experiment time","system time","system time text"
"START",0.000000000E0,1717698793.861,"2024-06-06 13:33:13.861 UTC-05:00"
"PAUSE",1.000592765E3,1717699794.453,"2024-06-06 13:49:54.453 UTC-05:00"
