"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.098240000E-2,2.295775604E1,1.107978821E0,-1.855206680E1
1.309824000E-1,2.274436569E1,-1.414031982E-1,-1.909867859E1
1.809824000E-1,2.364871597E1,-1.066390991E0,-1.684229279E1
2.309824000E-1,2.355469513E1,9.947586060E-1,-1.980369568E1
3.696841730E-1,2.338171577E1,3.525314331E-1,-1.895879364E1
4.196841730E-1,2.140492439E1,7.279052734E-1,-1.856187439E1
4.696841730E-1,2.170753479E1,9.135742188E-1,-1.981971359E1
5.196841730E-1,2.372340012E1,1.147109985E0,-1.896497345E1
5.696841730E-1,2.345336914E1,1.909317017E0,-1.855691147E1
6.196841730E-1,2.313073540E1,1.750198364E0,-1.939696884E1
6.696841730E-1,2.184909058E1,2.760314941E-1,-1.827284241E1
7.196841730E-1,2.221507454E1,1.533920288E0,-1.786474991E1
7.696841730E-1,2.183956528E1,-4.171752930E-2,-1.784972000E1
8.196841730E-1,2.062860107E1,7.029266357E-1,-1.926785278E1
8.696841730E-1,2.368004990E1,4.830932617E-2,-1.853300095E1
9.196841730E-1,2.367604446E1,5.361938477E-2,-1.895258331E1
9.696841730E-1,2.236108398E1,1.716369629E0,-1.940364456E1
1.019684173E0,2.354517174E1,6.770324707E-1,-1.938057327E1
1.069684173E0,2.111754036E1,1.513122559E0,-1.997199631E1
1.119684173E0,2.065575027E1,1.492820740E0,-1.997600174E1
1.169684173E0,2.195175171E1,-6.403198242E-1,-1.937976456E1
1.219684173E0,2.188451958E1,1.550483704E0,-2.024504089E1
1.269684173E0,2.095123482E1,8.620529175E-1,-1.842779160E1
1.319684173E0,2.205990028E1,1.693992615E0,-1.870701599E1
1.369684173E0,2.170468521E1,5.869979858E-1,-1.869729614E1
1.419684173E0,2.282572556E1,2.063247681E0,-2.052206039E1
1.469684173E0,2.204637146E1,1.381576538E0,-1.870347595E1
1.519684173E0,2.066260529E1,1.814094543E0,-2.067884064E1
1.569684173E0,2.280934525E1,1.424247742E0,-1.939609909E1
1.619684173E0,2.142940521E1,1.521339417E0,-1.954974747E1
1.669684173E0,2.137128067E1,2.769775391E-1,-1.995516586E1
1.719684173E0,2.220590973E1,1.876434326E0,-2.024591064E1
1.769684173E0,2.352754593E1,2.048492432E-1,-1.909554672E1
1.819684173E0,2.211359978E1,-8.092193604E-1,-1.783819962E1
1.869684173E0,2.375188446E1,1.935234070E0,-1.953326035E1
1.919684173E0,2.208990097E1,2.810478210E0,-2.053758621E1
1.969684173E0,2.192502022E1,2.322685242E0,-1.955459213E1
2.019684173E0,2.234088135E1,1.412803650E0,-2.009940338E1
2.069684173E0,2.267037010E1,1.893196106E0,-1.996218491E1
2.119684173E0,2.200338173E1,9.430389404E-1,-2.107578659E1
2.169684173E0,2.200338173E1,9.430389404E-1,-2.107578659E1
2.219684173E0,2.234755516E1,1.403953552E0,-1.940010452E1
2.269684173E0,2.183307076E1,2.972717285E-1,-1.995116043E1
2.319684173E0,2.430414200E1,7.250137329E-1,-2.049277878E1
2.369684173E0,2.303902435E1,3.147552490E0,-1.927437592E1
2.419684173E0,2.214760590E1,3.019485474E-1,-1.924919128E1
2.469684173E0,2.292152977E1,8.256454468E-1,-2.092614365E1
2.519684173E0,2.198557663E1,1.407470703E-1,-1.938861465E1
2.569684173E0,2.125642586E1,8.791198730E-1,-1.870483780E1
2.619684173E0,2.372072983E1,1.150650024E0,-1.924468994E1
2.669684173E0,2.143874931E1,1.508949280E0,-1.857072449E1
2.719684173E0,2.276217079E1,6.609039307E-1,-2.078585052E1
