"Time (s)","Pressure (hPa)"
9.263307700E-2,9.774836426E2
1.426330770E-1,9.774863281E2
1.926330770E-1,9.774863281E2
2.426330770E-1,9.774906616E2
3.807795900E-1,9.771539917E2
4.307795900E-1,9.771554565E2
4.807795900E-1,9.771554565E2
5.307795900E-1,9.771581421E2
5.807795900E-1,9.771581421E2
6.307795900E-1,9.771616211E2
6.807795900E-1,9.771616211E2
7.307795900E-1,9.771656494E2
7.807795900E-1,9.771656494E2
8.307795900E-1,9.771700439E2
8.807795900E-1,9.771700439E2
9.307795900E-1,9.771746216E2
9.807795900E-1,9.771746216E2
1.030779590E0,9.771793213E2
1.080779590E0,9.771793213E2
1.130779590E0,9.771840820E2
1.180779590E0,9.771840820E2
1.230779590E0,9.771886597E2
1.280779590E0,9.771886597E2
1.330779590E0,9.771934204E2
1.380779590E0,9.771934204E2
1.430779590E0,9.771981812E2
1.480779590E0,9.771981812E2
1.530779590E0,9.772028198E2
1.580779590E0,9.772028198E2
1.630779590E0,9.772074585E2
1.680779590E0,9.772074585E2
1.730779590E0,9.772119751E2
1.780779590E0,9.772119751E2
1.830779590E0,9.772164917E2
1.880779590E0,9.772164917E2
1.930779590E0,9.772210693E2
1.980779590E0,9.772210693E2
2.030779590E0,9.772252808E2
2.080779590E0,9.772252808E2
2.130779590E0,9.772293701E2
2.180779590E0,9.772293701E2
2.230779590E0,9.772335205E2
2.280779590E0,9.772335205E2
2.330779590E0,9.772374878E2
2.380779590E0,9.772374878E2
2.430779590E0,9.772413330E2
2.480779590E0,9.772413330E2
2.530779590E0,9.772449951E2
2.580779590E0,9.772449951E2
2.630779590E0,9.772487183E2
2.680779590E0,9.772487183E2
2.730779590E0,9.772522583E2
2.780779590E0,9.772522583E2
2.830779590E0,9.772558594E2
2.880779590E0,9.772558594E2
2.930779590E0,9.772591553E2
2.980779590E0,9.772591553E2
3.030779590E0,9.772625122E2
3.080779590E0,9.772625122E2
3.130779590E0,9.772658691E2
3.180779590E0,9.772658691E2
3.230779590E0,9.772692261E2
3.280779590E0,9.772692261E2
3.330779590E0,9.772725220E2
3.380779590E0,9.772758179E2
3.430779590E0,9.772788696E2
3.480779590E0,9.772817993E2
3.530779590E0,9.772848511E2
3.580779590E0,9.772877808E2
3.630779590E0,9.772904663E2
3.680779590E0,9.772932129E2
3.730779590E0,9.772957764E2
3.780779590E0,9.772983398E2
3.830779590E0,9.773009033E2
3.880779590E0,9.773034668E2
3.930779590E0,9.773060303E2
3.980779590E0,9.773082275E2
4.030779590E0,9.773106079E2
4.080779590E0,9.773129883E2
4.130779590E0,9.773153076E2
4.180779590E0,9.773175659E2
4.230779590E0,9.773197632E2
4.280779590E0,9.773219604E2
4.330779590E0,9.773239136E2
4.380779590E0,9.773256226E2
4.430779590E0,9.773273315E2
4.480779590E0,9.773291016E2
4.530779590E0,9.773311768E2
4.580779590E0,9.773331909E2
4.630779590E0,9.773351440E2
4.680779590E0,9.773368530E2
4.730779590E0,9.773384399E2
4.780779590E0,9.773400269E2
4.830779590E0,9.773414917E2
4.880779590E0,9.773430786E2
4.930779590E0,9.773447266E2
4.980779590E0,9.773461304E2
5.030779590E0,9.773479004E2
5.080779590E0,9.773508301E2
5.130779590E0,9.773528442E2
5.180779590E0,9.773547974E2
5.230779590E0,9.773571777E2
5.280779590E0,9.773586426E2
5.330779590E0,9.773599243E2
5.380779590E0,9.773612671E2
5.430779590E0,9.773623657E2
5.480779590E0,9.773633423E2
5.530779590E0,9.773644409E2
5.580779590E0,9.773654785E2
5.630779590E0,9.773662720E2
5.680779590E0,9.773669434E2
5.730779590E0,9.773676758E2
5.780779590E0,9.773685913E2
5.830779590E0,9.773695068E2
5.880779590E0,9.773704224E2
5.930779590E0,9.773710938E2
5.980779590E0,9.773717041E2
6.030779590E0,9.773719482E2
6.080779590E0,9.773721313E2
6.130779590E0,9.773721924E2
6.180779590E0,9.773722534E2
6.230779590E0,9.773722534E2
6.280779590E0,9.773730469E2
6.330779590E0,9.773738403E2
6.380779590E0,9.773745728E2
6.430779590E0,9.773753052E2
6.480779590E0,9.773759766E2
6.530779590E0,9.773763428E2
6.580779590E0,9.773769531E2
6.630779590E0,9.773776245E2
6.680779590E0,9.773784790E2
6.730779590E0,9.773792114E2
6.780779590E0,9.773796997E2
6.830779590E0,9.773802490E2
6.880779590E0,9.773810425E2
6.930779590E0,9.773818359E2
6.980779590E0,9.773823853E2
7.030779590E0,9.773829956E2
7.080779590E0,9.773835449E2
7.130779590E0,9.773840332E2
7.180779590E0,9.773847656E2
7.230779590E0,9.773854370E2
7.280779590E0,9.773859863E2
7.330779590E0,9.773864136E2
7.380779590E0,9.773868408E2
7.430779590E0,9.773874512E2
7.480779590E0,9.773881836E2
7.530779590E0,9.773887329E2
7.580779590E0,9.773890991E2
7.630779590E0,9.773896484E2
7.680779590E0,9.773903809E2
7.730779590E0,9.773911133E2
7.780779590E0,9.773918457E2
7.830779590E0,9.773926392E2
7.880779590E0,9.773937988E2
7.930779590E0,9.773946533E2
7.980779590E0,9.773955078E2
8.030779590E0,9.773962402E2
8.080779590E0,9.773970337E2
8.130779590E0,9.773977661E2
8.180779590E0,9.773986816E2
8.230779590E0,9.773995972E2
8.280779590E0,9.774004517E2
8.330779590E0,9.774013062E2
8.380779590E0,9.774020996E2
8.430779590E0,9.774029541E2
8.480779590E0,9.774039307E2
8.530779590E0,9.774048462E2
8.580779590E0,9.774057007E2
8.630779590E0,9.774066162E2
8.680779590E0,9.774075928E2
8.730779590E0,9.774086914E2
8.780779590E0,9.774098511E2
8.830779590E0,9.774108276E2
8.880779590E0,9.774116821E2
8.930779590E0,9.774125366E2
8.980779590E0,9.774132690E2
9.030779590E0,9.774138184E2
9.080779590E0,9.774149170E2
9.130779590E0,9.774158325E2
9.180779590E0,9.774165649E2
9.230779590E0,9.774174194E2
9.280779590E0,9.774182129E2
9.330779590E0,9.774190674E2
