"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.233768270E-1,-2.988878638E-3,8.333851583E-3,-1.264625345E-3
1.733768270E-1,-2.592585515E-3,6.644162349E-3,-9.894621326E-4
2.233768270E-1,2.456703223E-4,1.263538725E-3,-1.122521469E-3
4.308493810E-1,-4.620580003E-4,1.051946310E-4,-2.170697320E-3
4.808493810E-1,-4.620580003E-4,8.930918993E-4,-1.008805237E-3
5.308493810E-1,-9.887537453E-4,5.141987931E-4,-5.725794472E-5
5.808493810E-1,-6.101792678E-5,9.029604262E-4,-1.256063581E-3
6.308493810E-1,6.032057572E-4,6.428287597E-4,-2.573870355E-3
6.808493810E-1,-2.073145006E-4,7.564335829E-4,-3.120014444E-4
7.308493810E-1,-4.620580003E-4,5.019267555E-4,-1.275792602E-3
7.808493810E-1,-6.510410458E-5,9.268597933E-4,-1.763073495E-3
8.308493810E-1,-2.981028520E-4,7.740312722E-4,-1.122521469E-3
8.808493810E-1,-2.297102474E-4,1.170458156E-3,-1.955437241E-3
9.308493810E-1,-4.620580003E-4,1.051946310E-4,-1.614669454E-3
9.808493810E-1,-4.620580003E-4,5.537392572E-4,-2.772680600E-4
1.030849381E0,-2.745855600E-4,7.736104308E-4,-1.706841518E-3
1.080849381E0,1.438076142E-4,7.737658452E-4,-2.187784994E-3
1.130849381E0,-4.620580003E-4,1.170458156E-3,-7.262614090E-4
1.180849381E0,-4.620580003E-4,1.170458156E-3,-1.122521469E-3
1.230849381E0,-4.620580003E-4,3.156160237E-4,-1.790762413E-3
1.280849381E0,-4.620580003E-4,6.867955672E-4,-8.246857906E-4
1.330849381E0,-4.620580003E-4,3.290371969E-4,-1.791412011E-3
1.380849381E0,-4.620580003E-4,1.170458156E-3,-1.692100079E-3
1.430849381E0,-4.620580003E-4,9.361840785E-4,-1.122521469E-3
1.480849381E0,-4.620580003E-4,5.014241906E-4,-2.025506692E-3
1.530849381E0,-4.620580003E-4,7.738141576E-4,-1.122521469E-3
1.580849381E0,-6.517954171E-5,1.170458156E-3,-1.122521469E-3
1.630849381E0,-5.045020953E-5,1.170458156E-3,-1.122521469E-3
1.680849381E0,-4.620580003E-4,1.170458156E-3,-1.122521469E-3
1.730849381E0,-1.928969286E-4,1.170458156E-3,-7.263055304E-4
1.780849381E0,-4.753796384E-5,-1.731531229E-4,-2.178754658E-3
1.830849381E0,-6.522983313E-5,5.020227982E-4,-1.510171918E-3
1.880849381E0,-9.744514246E-4,6.378263934E-4,-1.122521469E-3
1.930849381E0,-3.582471982E-4,1.170458156E-3,-1.415211707E-3
1.980849381E0,-6.527290680E-5,7.099641953E-4,-1.226513879E-3
2.030849381E0,-1.585055143E-4,5.018883385E-4,-1.519215177E-3
2.080849381E0,-3.690999001E-4,1.483153901E-4,-1.122521469E-3
2.130849381E0,-4.620580003E-4,4.582378315E-4,-1.122521469E-3
2.180849381E0,-4.620580003E-4,1.605356811E-4,-1.122521469E-3
2.230849381E0,-4.620580003E-4,4.466198152E-4,-1.122521469E-3
2.280849381E0,-4.620580003E-4,1.100523397E-3,-1.589207212E-3
2.330849381E0,-4.620580003E-4,1.170458156E-3,-1.122521469E-3
2.380849381E0,1.360005117E-3,7.892091526E-4,-7.259112317E-4
2.430849381E0,-8.267923258E-4,6.630055141E-4,-7.867270615E-4
