"event","experiment time","system time","system time text"
"START",0.000000000E0,1717693737.210,"2024-06-06 12:08:57.210 UTC-05:00"
"PAUSE",1.442616650E3,1717695179.827,"2024-06-06 12:32:59.827 UTC-05:00"
