"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.408402100E-2,4.129326344E0,-5.612961575E-2,8.979287148E0
1.140840210E-1,3.973620176E0,-2.498839423E-2,8.996055603E0
1.640840210E-1,3.940083504E0,-1.301100012E-2,9.051151276E0
2.140840210E-1,4.093394279E0,-5.373413488E-2,8.945750237E0
2.640840210E-1,4.114953518E0,-6.092057377E-2,8.912213326E0
3.140840210E-1,4.019134521E0,-4.415222257E-2,8.996055603E0
3.640840210E-1,3.964038134E0,-6.571152806E-2,8.991264343E0
4.140840210E-1,4.002366066E0,6.152828224E-3,9.020009995E0
4.640840210E-1,4.026320934E0,-3.696578741E-2,8.861908913E0
5.140840210E-1,4.081417084E0,-9.445726871E-2,8.928981781E0
5.640840210E-1,3.966433764E0,-3.217482939E-2,9.017614365E0
6.140840210E-1,3.990388393E0,-8.220043033E-3,9.000845909E0
6.640840210E-1,4.069439411E0,-7.529344410E-2,8.991264343E0
7.140840210E-1,4.088603497E0,-4.894318059E-2,8.976891518E0
7.640840210E-1,4.059857368E0,-3.457030654E-2,8.905027390E0
8.140840210E-1,3.987993002E0,-5.852509290E-2,9.005637169E0
8.640840210E-1,3.976015568E0,-1.061552204E-2,9.031987190E0
9.140840210E-1,4.033507347E0,-4.415222257E-2,8.940958977E0
9.640840210E-1,4.131721973E0,-9.445726871E-2,8.897840500E0
1.014084021E0,4.038298130E0,-4.654769972E-2,8.952937126E0
1.064084021E0,4.019134521E0,-1.540647820E-2,9.012824059E0
1.114084021E0,4.143699169E0,-1.208075359E-1,9.053546906E0
1.164084021E0,4.105371475E0,-5.824564490E-3,9.017614365E0
1.214084021E0,4.007156849E0,-2.019743621E-2,8.964914322E0
1.264084021E0,4.083812237E0,-3.217482939E-2,9.118225098E0
1.314084021E0,3.971224546E0,-3.457030654E-2,9.084688187E0
1.364084021E0,3.882591963E0,-7.529344410E-2,8.914608955E0
1.414084021E0,3.978411198E0,-7.289796323E-2,8.931377411E0
1.464084021E0,4.047880173E0,8.041266352E-2,8.382812500E0
1.514084021E0,4.110162735E0,5.166692287E-2,8.976891518E0
1.564084021E0,4.047880173E0,-1.327849180E-1,8.988868713E0
1.614084021E0,4.079021454E0,-9.924823046E-2,8.761298180E0
1.664084021E0,4.023925304E0,-1.974628419E-1,9.031987190E0
1.714084021E0,4.234727383E0,-2.980729640E-1,7.987559319E0
1.764084021E0,3.942478895E0,2.052569762E-2,9.079896927E0
1.814084021E0,3.923315048E0,-1.543442309E-1,9.039174080E0
1.864084021E0,4.062252998E0,-7.529344410E-2,8.828372002E0
1.914084021E0,4.119744778E0,4.421299100E-1,1.041896915E1
1.964084021E0,4.447925091E0,2.361187786E-1,1.145142078E1
2.014084021E0,5.164173126E0,1.307177246E-1,9.618880272E0
2.064084021E0,9.387401581E0,5.523219705E-1,7.050272822E-2
2.114084021E0,6.807471275E0,1.762318164E-1,5.517820835E0
2.164084021E0,5.458817005E0,5.166692287E-2,8.823580742E0
2.214084021E0,6.929640770E0,-5.256434083E-1,7.189865112E0
2.264084021E0,8.783740997E0,-1.898252606E0,9.831800461E-1
2.314084021E0,1.259494781E1,2.720509470E-1,7.268638611E-1
2.364084021E0,1.139002228E1,-6.861404777E-1,5.752577782E0
2.414084021E0,1.243924141E1,-1.855134010E0,2.662410498E0
2.464084021E0,1.184037209E1,-1.095767260E0,-6.505362988E-1
2.514084021E0,1.207752419E1,-1.958139539E0,1.718591928E0
2.564084021E0,1.130857563E1,-1.615586162E0,3.000173092E0
2.614084021E0,9.373028755E0,-1.354478955E0,1.526953578E0
2.664084021E0,8.350159645E0,-5.133865774E-2,8.538241982E-1
2.714084021E0,8.038747787E0,-1.143676877E0,7.891463041E-1
2.764084021E0,8.434000969E0,-1.119722009E0,6.573949456E-1
2.814084021E0,9.195763588E0,-1.543721795E0,1.090976596E0
2.864084021E0,8.893933296E0,-8.154962659E-1,1.540671289E-2
2.914084021E0,9.282000542E0,-4.945021868E-1,9.951574802E-1
2.964084021E0,8.699899673E0,-5.133865774E-2,5.133889616E-2
3.014084021E0,9.126295090E0,1.834182441E-1,-1.642264485E0
3.064084021E0,8.371719360E0,6.337682009E-1,2.573500574E-1
3.114084021E0,7.411131859E0,1.155982494E0,-1.247010469E0
3.164084021E0,7.741708279E0,1.275756478E0,1.301124692E-2
3.214084021E0,8.738226891E0,1.682987809E0,-6.625136733E-1
3.264084021E0,9.155040741E0,7.727059722E-1,-6.960504055E-1
3.314084021E0,8.441187859E0,9.212256670E-1,-6.843502820E-2
3.364084021E0,8.381300926E0,1.476976633E0,-7.439599633E-1
3.414084021E0,9.516757965E0,9.188301563E-1,7.172819376E-1
3.464084021E0,1.071928787E1,5.642993450E-1,3.292143941E-1
3.514084021E0,1.088936710E1,2.457007021E-1,1.047858000E0
3.564084021E0,1.058753681E1,5.619038939E-1,1.141281605E0
3.614084021E0,1.003178596E1,6.768868566E-1,1.232309818E0
3.664084021E0,1.012041855E1,1.108072996E0,-2.073727697E-1
3.714084021E0,1.079594326E1,9.571578503E-1,6.238582730E-1
3.764084021E0,1.052764988E1,1.206287622E0,-4.708753824E-1
3.814084021E0,1.014197731E1,9.475759268E-1,1.296987653E0
3.864084021E0,8.927470207E0,1.685383320E0,-2.681901932E0
3.914084021E0,8.077075005E0,1.172750950E0,6.549994946E-1
3.964084021E0,8.642408371E0,9.260166287E-1,-5.906493068E-1
4.014084021E0,8.937051773E0,6.361637115E-1,3.795194626E-1
4.064084021E0,9.040057182E0,8.996663690E-1,2.063540936E0
4.114084021E0,8.989752769E0,1.426671624E0,2.977959812E-2
4.164084021E0,1.053723145E1,3.870339096E-1,-6.050221920E-1
4.214084021E0,8.994543076E0,6.792823076E-1,-6.404475689E0
4.264084021E0,9.691627502E0,1.989609003E0,1.752128601E0
4.314084021E0,9.207740784E0,2.015959263E0,5.519939065E-1
4.364084021E0,1.049650860E1,1.697360754E0,-7.463554144E-1
4.414084021E0,1.005094910E1,1.908162832E0,6.573949456E-1
4.464084021E0,9.732350349E0,-2.118357122E-1,-4.421296716E-1
4.514084021E0,1.120317459E1,1.328456998E0,-3.053201199E0
4.564084021E0,1.123431587E1,1.623100877E0,1.711128205E-1
4.614084021E0,9.720373154E0,1.460208297E0,7.819598913E-1
4.664084021E0,1.080792046E1,-4.897112250E-1,2.439630985E0
4.714084021E0,7.916577816E0,1.330852509E0,-1.381157279E0
4.764084021E0,1.059472275E1,7.032371163E-1,8.202875257E-1
4.814084021E0,9.353865623E0,8.613386750E-1,-9.882988334E-1
4.864084021E0,9.523943901E0,1.503326893E0,1.167631865E0
4.914084021E0,1.042943478E1,1.536863685E0,7.867508531E-1
4.964084021E0,1.049171734E1,1.103281975E0,-5.139940381E-1
5.014084021E0,9.900033951E0,1.723711014E0,7.364457846E-1
5.064084021E0,8.810091972E0,1.977631688E0,3.771239817E-1
5.114084021E0,9.178995132E0,1.146400690E0,-9.164344668E-1
5.164084021E0,9.334701538E0,1.419485211E0,-4.541070461E-1
5.214084021E0,9.667673111E0,1.850671291E0,-6.529317498E-1
5.264084021E0,9.576644897E0,1.790784359E0,-1.402716637E0
5.314084021E0,9.456871033E0,2.142919779E0,-1.098490834E0
5.364084021E0,9.198159218E0,1.980027199E0,-1.812343478E0
5.414084021E0,9.828169823E0,1.306897640E0,-3.141834021E0
5.464084021E0,1.048453140E1,7.535421848E-1,-4.674940109E0
5.514084021E0,9.856915474E0,1.381157517E0,-5.762764812E-1
5.564084021E0,8.738226891E0,1.759643197E0,-6.888639331E-1
5.614084021E0,9.291583061E0,3.031921685E-1,-3.450850725E0
5.664084021E0,8.937051773E0,6.697003841E-1,-4.468928814E0
5.714084021E0,8.987357140E0,8.541522622E-1,-1.826716304E0
5.764084021E0,8.915493011E0,1.551236510E0,-2.607642174E0
