"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.265929800E-1,2.769683488E-4,-2.916164231E-4,-7.416900480E-4
1.763536050E-1,2.343580127E-4,-1.058605616E-3,8.775111055E-4
2.261170940E-1,9.161266498E-4,-8.029425517E-4,5.366265541E-4
2.758832920E-1,7.030735724E-4,1.242362661E-3,-8.269109530E-4
3.256969380E-1,4.900209606E-4,1.796300057E-3,-1.451425487E-4
3.754777190E-1,6.391573697E-5,1.412805635E-3,-6.990797119E-4
4.252236050E-1,4.048000555E-4,-6.325007416E-4,4.940158688E-4
4.750286570E-1,8.309050463E-4,-7.856357843E-5,1.261005644E-3
5.247884490E-1,2.769685816E-4,9.440893773E-4,-6.990799448E-4
5.745625630E-1,8.735160809E-4,1.071921084E-3,6.791041233E-5
6.243544900E-1,1.043958124E-3,5.179841537E-4,1.005342463E-3
6.741268860E-1,-5.326319952E-4,9.187893011E-5,-1.253016177E-3
7.238968860E-1,-2.769685816E-4,6.884261966E-4,-4.860268673E-4
7.736827190E-1,1.597895520E-3,1.412805635E-3,1.388837351E-3
8.234591780E-1,5.752423313E-4,5.179839209E-4,-2.729737898E-4
8.732339690E-1,-2.130540088E-5,-2.490056213E-4,5.792372394E-4
9.230168340E-1,6.391596980E-5,9.867001791E-4,4.514054162E-4
9.727914690E-1,-1.917476766E-4,7.736473344E-4,-1.295627211E-3
1.022557251E0,1.342232223E-3,1.157142222E-3,1.531315502E-4
1.072350584E0,5.326317623E-4,1.199752791E-3,1.346226782E-3
1.122095844E0,1.491368748E-4,1.157141989E-3,-6.564689102E-4
1.171905584E0,-1.065263059E-4,-1.058605849E-3,-1.731084194E-5
1.221676417E0,2.343577798E-4,1.029310282E-3,3.661841620E-4
1.271422667E0,4.900209606E-4,1.540637109E-3,-5.286372034E-4
1.321223084E0,2.343575470E-4,9.014788084E-4,6.791076157E-5
1.371000688E0,4.900209606E-4,-1.211736817E-4,-1.731084194E-5
1.420766938E0,-2.769685816E-4,-1.211741474E-4,-8.269109530E-4
1.470558396E0,4.047995899E-4,1.540636644E-3,-3.581951605E-4
1.520301261E0,1.171789831E-3,1.029310981E-3,-2.303636866E-4
1.570100063E0,1.640505390E-3,-3.595277667E-5,1.957420027E-4
1.619883605E0,8.735158481E-4,-5.046690349E-4,1.957420027E-4
1.669657928E0,-4.900216591E-4,3.901526798E-4,2.383525716E-4
1.719440324E0,4.474103916E-4,-1.101216418E-3,1.218395191E-3
1.769213761E0,-1.084438339E-2,-1.315999962E-2,5.138564855E-3
1.818992042E0,5.752418656E-4,3.475423437E-4,1.303616213E-3
1.868757251E0,-4.026697017E-3,-6.129260175E-3,-1.025319798E-4
1.918542459E0,4.220574349E-2,-2.724877596E-1,1.135823950E-1
1.968319959E0,2.163550109E-1,-1.295183420E0,4.560859203E-1
2.018099438E0,3.532627523E-1,-2.152081013E0,6.259741187E-1
2.067886053E0,5.655484200E-1,-6.233004332E-1,6.382459998E-1
2.117642042E0,5.727496743E-1,-1.365192652E0,9.231826663E-1
2.167416417E0,4.954114854E-1,-2.087355614E0,5.355119705E-1
2.217205219E0,6.361115575E-1,-2.828523397E0,4.626906216E-1
2.266975167E0,1.668842286E-1,-2.306416988E0,2.608018219E-1
2.316758813E0,-2.284116745E0,-1.619364381E0,6.666671634E-1
2.366535896E0,-1.937565327E0,-2.270581245E0,5.057272315E-1
2.416285167E0,-1.729327679E0,-2.460794449E0,2.884986997E-1
2.466084021E0,-2.427927494E0,-2.099585295E0,4.325223565E-1
2.515866417E0,-2.342578411E0,-1.006454468E0,3.781512380E-1
2.565636990E0,-1.130990386E0,-1.816421151E-1,1.728110611E-1
2.615376261E0,3.587594628E-1,1.485896111E-1,-7.812243700E-2
2.665189646E0,3.996656537E-1,1.191031262E-1,-1.088446453E-1
2.714963761E0,4.161985219E-1,-1.361340284E-1,-3.215564787E-1
2.764744334E0,7.986281514E-1,-1.223708168E-1,-9.706856012E-1
2.814512511E0,1.108960509E0,-1.562888175E-1,-1.385584354E0
2.864292719E0,1.278976560E0,2.685383260E-1,-1.696471095E0
2.914047459E0,1.385161877E0,5.870521069E-1,-1.588069797E0
2.963837667E0,2.033993006E0,5.168725252E-1,-1.213395119E0
3.013618032E0,1.989976168E0,6.306425333E-1,-7.828582525E-1
3.063392407E0,2.128886461E0,5.867112279E-1,-3.098811805E-1
3.113182355E0,2.079159975E0,6.073346734E-1,-6.408895366E-3
3.162959438E0,1.732139945E0,4.137124717E-1,2.759711742E-1
3.212728240E0,1.915791035E0,3.826067448E-1,2.777182460E-1
3.262514542E0,1.740022779E0,4.022501707E-1,2.161459476E-1
3.312290480E0,1.464076757E0,2.712228000E-1,1.777112931E-1
3.362053813E0,1.171214700E0,-7.814107090E-2,3.354555070E-1
3.411840949E0,5.192733407E-1,-2.025638670E-1,5.467186570E-1
3.461608449E0,2.943323553E-1,-3.668274581E-1,4.855724275E-1
3.511396730E0,2.533835769E-1,-2.874866128E-1,2.171405777E-2
