"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.667454200E-2,-2.996578979E1,-3.073791504E0,-8.222614288E0
1.266745420E-1,-3.022620392E1,-1.828796387E0,-8.938743591E0
1.766745420E-1,-2.908119583E1,-3.477050781E0,-1.016733551E1
2.266745420E-1,-2.946055984E1,-1.789657593E0,-9.351650238E0
2.766745420E-1,-2.939566803E1,-3.890686035E-1,-8.947998047E0
3.266745420E-1,-2.943875122E1,-9.926757812E-1,-1.061923981E1
3.766745420E-1,-3.143743896E1,-1.579345703E0,-8.253662109E0
4.266745420E-1,-2.946723557E1,-1.780807495E0,-1.005094910E1
4.766745420E-1,-3.035850143E1,-1.368698120E0,-8.805530548E0
5.266745420E-1,-3.016264725E1,-4.264373779E-1,-8.674953461E0
5.766745420E-1,-3.064731216E1,-7.467803955E-1,-9.654438019E0
6.266745420E-1,-2.852487183E1,-1.599945068E0,-8.785972595E0
6.766745420E-1,-3.096870422E1,-1.072723389E0,-9.653568268E0
7.266745420E-1,-3.022620392E1,-1.828796387E0,-8.938743591E0
7.766745420E-1,-2.976298904E1,-1.645202637E0,-9.495948792E0
8.266745420E-1,-3.035850143E1,-1.368698120E0,-8.805530548E0
8.766745420E-1,-2.899600983E1,-1.607849121E0,-9.768993378E0
9.266745420E-1,-3.029352188E1,1.969451904E-1,-9.102951050E0
9.766745420E-1,-3.021000290E1,-1.519912720E0,-8.662563324E0
1.026674542E0,-2.983431244E1,3.858413696E-1,-1.007973480E1
1.076674542E0,-3.042882156E1,-2.927261353E0,-9.067550659E0
1.126674542E0,-2.876365662E1,1.119232178E-1,-9.367549896E0
1.176674542E0,-2.926336670E1,-8.491821289E-1,-9.081214905E0
1.226674542E0,-3.004370117E1,-8.688507080E-1,-1.020677185E1
1.276674542E0,-3.082296371E1,-1.385452271E0,-9.089256287E0
1.326674542E0,-3.098232269E1,-1.550201416E0,-8.948959351E0
1.376674542E0,-2.996284866E1,-2.582153320E0,-1.004610443E1
1.426674542E0,-3.021934891E1,-1.507522583E0,-9.641582489E0
1.476674542E0,-2.908780670E1,-3.755493164E-1,-8.945327759E0
1.526674542E0,-3.007352066E1,-1.655197144E0,-9.778339386E0
1.576674542E0,-2.985745621E1,-4.093780518E-1,-8.952003479E0
1.626674542E0,-2.992501831E1,-1.806411743E0,-9.635372162E0
1.676674542E0,-2.989146423E1,-1.520538330E0,-7.541011810E0
1.726674542E0,-3.036784744E1,-1.356307983E0,-9.784549713E0
1.776674542E0,-2.909466553E1,-6.968231201E-1,-8.242488861E0
1.826674542E0,-3.064482498E1,-1.080429077E0,-7.972579956E0
1.876674542E0,-3.191400146E1,-1.745223999E0,-9.095058441E0
1.926674542E0,-3.033135223E1,-5.787963867E-1,-9.513679504E0
1.976674542E0,-3.033135223E1,-5.787963867E-1,-9.513679504E0
2.026674542E0,-3.156932068E1,2.633651733E0,-9.003421783E0
2.076674542E0,-3.549499893E1,1.151502991E1,-9.982624054E0
2.126674542E0,-3.843812180E1,1.483405304E1,-1.144686508E1
2.176674542E0,-3.994477844E1,1.880694580E1,-1.038869095E1
2.226674542E0,-4.092330551E1,2.143639374E1,-1.210644531E1
2.276674542E0,-4.406922913E1,2.332682800E1,-1.229735184E1
2.326674542E0,-4.606239319E1,2.306320953E1,-1.077447510E1
2.376674542E0,-4.487700653E1,2.494968414E1,-7.989170074E0
2.426674542E0,-4.267250061E1,2.514395905E1,-3.496730804E0
2.476674542E0,-4.166667938E1,2.656212616E1,-1.266887665E0
2.526674542E0,-4.146459579E1,2.667021179E1,3.068336487E0
2.576674542E0,-4.267628098E1,2.609437561E1,7.258766174E0
2.626674542E0,-4.222686386E1,2.547035980E1,8.808303833E0
2.676674542E0,-4.346622849E1,2.559191895E1,7.257400513E0
2.726674542E0,-4.327337265E1,2.294988251E1,7.290161133E0
2.776674542E0,-4.453738785E1,2.194787598E1,8.129257202E0
2.826674542E0,-4.715301514E1,1.857338715E1,7.026191711E0
2.876674542E0,-4.731101227E1,1.547927856E1,4.683967590E0
2.926674542E0,-4.810787201E1,1.156289673E1,3.464141846E0
2.976674542E0,-4.895734406E1,6.725181580E0,9.961929321E-1
3.026674542E0,-4.840383911E1,5.348121643E0,8.776016235E-1
3.076674542E0,-4.950170135E1,1.739486694E0,-1.047737122E0
3.126674542E0,-4.966355133E1,1.908401489E0,-2.589305878E0
3.176674542E0,-4.780277252E1,2.467063904E0,-3.277893066E0
3.226674542E0,-4.855461884E1,3.235527039E0,-4.971736908E0
3.276674542E0,-4.781211853E1,2.479454041E0,-4.256912231E0
3.326674542E0,-4.846273041E1,2.168289185E0,-6.496475220E0
3.376674542E0,-4.813333130E1,2.483619690E0,-5.658184052E0
3.426674542E0,-4.810217285E1,3.268211365E0,-5.946758270E0
3.476674542E0,-4.803761292E1,1.080963135E0,-5.361198425E0
