"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.428837241E0,-1.463021088E1,3.887545776E1,6.527595520E0
2.478837241E0,-1.345822716E1,3.768698883E1,5.992996216E0
2.528837241E0,-1.357575417E1,3.829267120E1,6.963592529E0
2.578837241E0,-1.328551865E1,3.783403778E1,7.251296997E0
2.628837241E0,-1.385388184E1,3.890043640E1,7.233566284E0
2.678837241E0,-1.359604836E1,3.782404327E1,6.968902588E0
2.728837241E0,-1.350167084E1,3.642314148E1,7.126029968E0
2.778837241E0,-1.327189827E1,3.831151581E1,6.546684265E0
2.828837241E0,-1.346784592E1,3.720419312E1,7.117179871E0
2.878837241E0,-1.434237289E1,3.891554260E1,4.432365417E0
2.928837241E0,-1.433588028E1,3.857657623E1,6.533798218E0
2.978837241E0,-1.429804993E1,3.935231781E1,6.944526672E0
3.028837241E0,-1.261425400E1,3.927406311E1,6.681266785E0
3.078837241E0,-1.297908401E1,3.768427277E1,7.815177917E0
3.128837241E0,-1.271172523E1,3.692560577E1,7.127395630E0
3.178837241E0,-1.362987328E1,3.704299164E1,6.977752686E0
3.228837241E0,-1.378905296E1,3.720836639E1,5.715911865E0
3.278837241E0,-1.359756470E1,3.749568939E1,8.231185913E0
3.328837241E0,-1.451820374E1,3.794673920E1,6.399688721E0
3.378837241E0,-1.175556183E1,3.791407776E1,6.285621643E0
3.428837241E0,-1.420367050E1,3.795142365E1,7.101654053E0
3.478837241E0,-1.435635376E1,3.777783203E1,7.941253662E0
3.528837241E0,-1.303026390E1,3.692623138E1,6.005851746E0
3.578837241E0,-1.298976326E1,3.769843292E1,6.696296692E0
3.628837241E0,-1.465059280E1,3.824177551E1,7.233970642E0
3.678837241E0,-1.263739967E1,3.847885895E1,7.808998108E0
3.728837241E0,-1.370538330E1,3.874922180E1,7.376533508E0
3.778837241E0,-1.274254990E1,3.972884369E1,7.234062195E0
3.828837241E0,-1.335984230E1,3.628078461E1,6.569694519E0
3.878837241E0,-1.281438255E1,3.784194183E1,8.234313965E0
3.928837241E0,-1.339785385E1,3.517491913E1,7.561103821E0
3.978837241E0,-1.374855232E1,3.798056793E1,6.406356812E0
4.028837241E0,-1.374855232E1,3.798056793E1,6.406356812E0
4.078837241E0,-1.358242989E1,3.830152130E1,6.264297485E0
4.128837241E0,-1.258309937E1,4.005865479E1,6.392692566E0
4.178837241E0,-1.374855232E1,3.798056793E1,6.406356812E0
4.228837241E0,-1.430899811E1,3.887129211E1,7.928863525E0
4.278837241E0,-1.360424042E1,3.750453949E1,7.531883240E0
4.328837241E0,-1.447503281E1,3.871539307E1,7.369857788E0
4.378837241E0,-1.381638336E1,3.608834839E1,7.826202393E0
4.428837241E0,-1.365393448E1,4.000244904E1,7.082649231E0
4.478837241E0,-1.356622887E1,3.861039734E1,6.540473938E0
4.528837241E0,-1.266436958E1,3.801907349E1,7.115005493E0
4.578837241E0,-1.298976326E1,3.769843292E1,6.696296692E0
4.628837241E0,-1.349472618E1,3.690947723E1,5.722122192E0
4.678837241E0,-1.293840408E1,3.878658295E1,7.103485107E0
4.728837241E0,-1.268190384E1,3.771196747E1,6.698966980E0
4.778837241E0,-1.470043564E1,3.748196411E1,5.564498901E0
4.828837241E0,-1.439952469E1,3.700917053E1,6.971076965E0
4.878837241E0,-1.357575417E1,3.829267120E1,6.963592529E0
4.928837241E0,-1.270237923E1,3.691321564E1,8.106414795E0
4.978837241E0,-1.365435410E1,3.624954987E1,7.965629578E0
5.028837241E0,-1.351938248E1,3.578591156E1,8.112136841E0
5.078837241E0,-1.330572319E1,3.753046417E1,6.555534363E0
5.128837241E0,-1.388361359E1,3.827914429E1,6.960922241E0
5.178837241E0,-1.396194077E1,3.673120117E1,5.859748840E0
5.228837241E0,-1.301691437E1,3.690853119E1,7.404449463E0
5.278837241E0,-1.395108032E1,3.704716492E1,5.576484680E0
5.328837241E0,-1.347184944E1,3.720950317E1,6.697601318E0
5.378837241E0,-1.451571274E1,3.761308289E1,8.081550598E0
5.428837241E0,-1.436035919E1,3.778314209E1,7.521667480E0
5.478837241E0,-1.294258881E1,3.846178436E1,8.086051941E0
5.528837241E0,-1.282105827E1,3.785079193E1,7.535018921E0
