"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.633484500E-2,-6.133769751E-1,-1.092993021E0,9.783405304E0
7.633484500E-2,-5.822603703E-1,-1.088524103E0,9.748213768E0
1.263348450E-1,-5.721733570E-1,-1.035117626E0,9.754880905E0
1.763348450E-1,-6.128015518E-1,-1.056461334E0,9.757480621E0
2.263348450E-1,-6.332961917E-1,-1.096141934E0,9.741962433E0
2.763348450E-1,-6.051628590E-1,-1.099427819E0,9.745912552E0
3.263348450E-1,-5.816884041E-1,-1.074699640E0,9.752956390E0
3.763348450E-1,-5.935728550E-1,-1.052803516E0,9.753207207E0
4.263348450E-1,-5.988536477E-1,-1.063862324E0,9.753232956E0
4.763348450E-1,-6.082202196E-1,-1.088718891E0,9.748451233E0
5.263348450E-1,-6.221603155E-1,-1.101170063E0,9.754729271E0
5.763348450E-1,-5.956222415E-1,-1.087060809E0,9.754169464E0
6.263348450E-1,-5.732209682E-1,-1.058155775E0,9.756933212E0
6.763348450E-1,-6.015613675E-1,-1.052255392E0,9.758211136E0
7.263348450E-1,-6.403522491E-1,-1.080217123E0,9.754076004E0
7.763348450E-1,-6.122921705E-1,-1.103808045E0,9.746114731E0
8.263348450E-1,-5.798498988E-1,-1.085181713E0,9.755979538E0
8.763348450E-1,-5.872203708E-1,-1.056414962E0,9.761262894E0
9.263348450E-1,-6.208978891E-1,-1.055876613E0,9.759758949E0
9.763348450E-1,-6.230518818E-1,-1.081307888E0,9.754329681E0
1.026334845E0,-5.906138420E-1,-1.098824739E0,9.748695374E0
1.076334845E0,-5.752705336E-1,-1.083281755E0,9.755594254E0
1.126334845E0,-6.033979654E-1,-1.055259943E0,9.753305435E0
1.176334845E0,-6.216963530E-1,-1.052073002E0,9.765670776E0
1.226334845E0,-6.099439859E-1,-1.083697677E0,9.758709908E0
1.276334845E0,-5.990890265E-1,-1.099507570E0,9.748863220E0
1.326334845E0,-5.897852778E-1,-1.081767678E0,9.757872581E0
1.376334845E0,-5.908148289E-1,-1.056832433E0,9.760578156E0
1.426334845E0,-6.026378870E-1,-1.061557770E0,9.762326241E0
1.476334845E0,-6.225088835E-1,-1.079170942E0,9.756543159E0
1.526334845E0,-6.101960540E-1,-1.096130848E0,9.754529953E0
1.576334845E0,-5.883863568E-1,-1.081835032E0,9.760433197E0
1.626334845E0,-5.981152058E-1,-1.059356928E0,9.763292313E0
1.676334845E0,-6.012044549E-1,-1.064142704E0,9.761570930E0
1.726334845E0,-5.910812616E-1,-1.086242676E0,9.759278297E0
1.776334845E0,-6.005696058E-1,-1.096658945E0,9.755054474E0
1.826334845E0,-6.275632381E-1,-1.083060622E0,9.756276131E0
1.876334845E0,-6.356004477E-1,-1.071545362E0,9.756013870E0
1.926334845E0,-6.056880951E-1,-1.063434482E0,9.759614944E0
1.976334845E0,-5.673023462E-1,-1.071826935E0,9.753698349E0
2.026334845E0,-5.860010386E-1,-1.079701185E0,9.754981995E0
2.076334845E0,-6.309721470E-1,-1.076814413E0,9.755071640E0
2.126334845E0,-6.430909038E-1,-1.073771715E0,9.761695862E0
2.176334845E0,-6.011698842E-1,-1.089263320E0,9.755907059E0
2.226334845E0,-5.511893034E-1,-1.082676053E0,9.753701210E0
2.276334845E0,-5.951999426E-1,-1.044228554E0,9.771211624E0
2.326334845E0,-6.542459726E-1,-1.060943127E0,9.753499985E0
2.376334845E0,-6.030713320E-1,-1.130617857E0,9.748067856E0
2.426334845E0,-5.392117500E-1,-1.109277964E0,9.754501343E0
2.476334845E0,-5.963840485E-1,-1.022459984E0,9.768570900E0
2.526334845E0,-6.688122749E-1,-1.038491726E0,9.758101463E0
2.576334845E0,-6.100234389E-1,-1.130989075E0,9.753776550E0
2.626334845E0,-5.366764069E-1,-1.096618056E0,9.768115997E0
2.676334845E0,-6.055315733E-1,-1.023036599E0,9.764732361E0
2.726334845E0,-6.666390896E-1,-1.040854216E0,9.760160446E0
2.776334845E0,-6.044794321E-1,-1.139440298E0,9.760143280E0
2.826334845E0,-5.636815429E-1,-1.116652012E0,9.766471863E0
2.876334845E0,-5.660742521E-1,-1.060941100E0,9.764791489E0
2.926334845E0,-6.211039424E-1,-1.020544529E0,9.756726265E0
2.976334845E0,-6.324692965E-1,-1.044353485E0,9.765589714E0
3.026334845E0,-5.994613767E-1,-1.106299520E0,9.759437561E0
3.076334845E0,-5.930907726E-1,-1.130132437E0,9.753020287E0
3.126334845E0,-6.017438173E-1,-1.077419758E0,9.754987717E0
3.176334845E0,-5.976895094E-1,-1.032571793E0,9.764434814E0
3.226334845E0,-5.887048244E-1,-1.055337191E0,9.761844635E0
3.276334845E0,-6.060670614E-1,-1.101407886E0,9.758102417E0
3.326334845E0,-6.246929765E-1,-1.103063107E0,9.753301620E0
3.376334845E0,-6.182521582E-1,-1.072654366E0,9.760825157E0
3.426334845E0,-5.896301866E-1,-1.044594049E0,9.767047882E0
3.476334845E0,-5.784174204E-1,-1.041653514E0,9.771576881E0
3.526334845E0,-5.691272020E-1,-1.091058731E0,9.747579575E0
3.576334845E0,-6.356188655E-1,-1.151973963E0,9.744306564E0
3.626334845E0,-6.374358535E-1,-1.092226267E0,9.756454468E0
3.676334845E0,-5.886927843E-1,-1.024702907E0,9.764315605E0
3.726334845E0,-5.577197075E-1,-1.023478985E0,9.762993813E0
3.776334845E0,-5.928624868E-1,-1.085171819E0,9.757417679E0
3.826334845E0,-6.440147161E-1,-1.123892307E0,9.750699997E0
3.876334845E0,-6.293066144E-1,-1.105920792E0,9.755421638E0
3.926334845E0,-5.821509361E-1,-1.058832884E0,9.762305260E0
3.976334845E0,-5.600237846E-1,-1.043853045E0,9.764481544E0
4.026334845E0,-5.967317224E-1,-1.066832542E0,9.758995056E0
4.076334845E0,-6.410375834E-1,-1.096962094E0,9.751216888E0
4.126334845E0,-6.256010532E-1,-1.099413514E0,9.750963211E0
4.176334845E0,-5.860379338E-1,-1.075491667E0,9.753921509E0
4.226334845E0,-5.673507452E-1,-1.055970073E0,9.758428574E0
4.276334845E0,-5.984041095E-1,-1.068132401E0,9.758124352E0
4.326334845E0,-6.278800964E-1,-1.091708899E0,9.758152962E0
4.376334845E0,-6.212462187E-1,-1.092492819E0,9.758374214E0
4.426334845E0,-5.911362171E-1,-1.066887140E0,9.761032104E0
4.476334845E0,-5.861843824E-1,-1.045809984E0,9.761411667E0
4.526334845E0,-5.977833867E-1,-1.063681126E0,9.764784813E0
4.576334845E0,-5.993483663E-1,-1.115401268E0,9.757652283E0
4.626334845E0,-6.171866059E-1,-1.093445539E0,9.750402451E0
4.676334845E0,-6.040138006E-1,-1.069709539E0,9.763852119E0
4.726334845E0,-5.810876489E-1,-1.063187838E0,9.763577461E0
4.776334845E0,-6.016087532E-1,-1.050388336E0,9.763783455E0
4.826334845E0,-6.180492640E-1,-1.075358629E0,9.766669273E0
4.876334845E0,-6.093262434E-1,-1.103602409E0,9.753952026E0
4.926334845E0,-5.986127853E-1,-1.079560995E0,9.757751465E0
4.976334845E0,-5.922853351E-1,-1.063158393E0,9.758621216E0
5.026334845E0,-6.059682369E-1,-1.062981606E0,9.768108368E0
5.076334845E0,-5.951966047E-1,-1.082865477E0,9.761297226E0
5.126334845E0,-5.919425488E-1,-1.083465338E0,9.766456604E0
5.176334845E0,-6.005029678E-1,-1.075993061E0,9.756749153E0
5.226334845E0,-5.929678679E-1,-1.084633470E0,9.765304565E0
5.276334845E0,-6.163381338E-1,-1.093383074E0,9.744432449E0
5.326334845E0,-6.107769608E-1,-1.074241519E0,9.769639969E0
5.376334845E0,-5.906647444E-1,-1.070334196E0,9.756291389E0
5.426334845E0,-5.843452215E-1,-1.065383434E0,9.757113457E0
5.476334845E0,-5.911114216E-1,-1.059810996E0,9.756574631E0
5.526334845E0,-6.180946827E-1,-1.090976357E0,9.756267548E0
5.576334845E0,-5.991949439E-1,-1.107454896E0,9.770017624E0
5.626334845E0,-5.757892132E-1,-1.081417441E0,9.748206139E0
5.676334845E0,-5.865794420E-1,-1.055821180E0,9.779075623E0
5.726334845E0,-6.217554808E-1,-1.056745052E0,9.760963440E0
5.776334845E0,-6.043811440E-1,-1.079443216E0,9.788131714E0
5.826334845E0,-5.942925215E-1,-1.104216337E0,9.761124611E0
5.876334845E0,-5.947670937E-1,-1.093342423E0,9.738212585E0
5.926334845E0,-6.048364639E-1,-1.051449180E0,9.759658813E0
5.976334845E0,-6.125330329E-1,-1.053993344E0,9.763360977E0
6.026334845E0,-6.006842852E-1,-1.086071849E0,9.765897751E0
6.076334845E0,-5.946973562E-1,-1.098359108E0,9.757480621E0
6.126334845E0,-5.970405340E-1,-1.077696562E0,9.750772476E0
6.176334845E0,-5.932579041E-1,-1.105360389E0,9.783337593E0
6.226334845E0,-6.345287561E-1,-9.947048426E-1,9.771121979E0
6.276334845E0,-6.191588640E-1,-1.074586630E0,9.738328934E0
6.326334845E0,-5.495882034E-1,-1.171067953E0,9.758575439E0
6.376334845E0,-5.616315603E-1,-1.041783333E0,9.753582001E0
6.426334845E0,-6.398234367E-1,-1.013568878E0,9.762220383E0
6.476334845E0,-6.678840518E-1,-1.070169449E0,9.767039299E0
6.526334845E0,-6.098976135E-1,-1.122352123E0,9.759914398E0
6.576334845E0,-5.529000759E-1,-1.116090059E0,9.761389732E0
6.626334845E0,-5.634878874E-1,-1.071147919E0,9.761953354E0
6.676334845E0,-6.111141443E-1,-1.036493540E0,9.757639885E0
6.726334845E0,-6.352805495E-1,-1.060074568E0,9.757556915E0
6.776334845E0,-6.201461554E-1,-1.108174086E0,9.750488281E0
6.826334845E0,-6.020992994E-1,-1.102455616E0,9.760416031E0
6.876334845E0,-5.769914389E-1,-1.062324047E0,9.765895844E0
6.926334845E0,-5.777215958E-1,-1.054277420E0,9.764112473E0
6.976334845E0,-6.155478954E-1,-1.074642777E0,9.762608528E0
7.026334845E0,-6.316895485E-1,-1.095578194E0,9.755764008E0
7.076334845E0,-6.004788280E-1,-1.092585087E0,9.753330231E0
7.126334845E0,-5.786569715E-1,-1.070774674E0,9.762022018E0
7.176334845E0,-5.916970968E-1,-1.054023147E0,9.759508133E0
7.226334845E0,-6.055177450E-1,-1.065189123E0,9.761969566E0
7.276334845E0,-6.136906147E-1,-1.080463409E0,9.757879257E0
7.326334845E0,-6.055636406E-1,-1.091638923E0,9.762018204E0
7.376334845E0,-6.052109599E-1,-1.084832668E0,9.757432938E0
7.426334845E0,-6.037049294E-1,-1.072191715E0,9.761158943E0
7.476334845E0,-6.013637185E-1,-1.062280297E0,9.763749123E0
7.526334845E0,-6.009008288E-1,-1.070772648E0,9.758760452E0
7.576334845E0,-6.040714979E-1,-1.081982374E0,9.763548851E0
7.626334845E0,-6.071382165E-1,-1.087667227E0,9.764112473E0
7.676334845E0,-6.020210981E-1,-1.081055880E0,9.765892029E0
7.726334845E0,-6.314679384E-1,-1.085451126E0,9.613185883E0
7.776334845E0,-5.889047384E-1,-1.039646268E0,9.807785034E0
7.826334845E0,-5.979543924E-1,-1.068358660E0,9.778460503E0
7.876334845E0,-6.211367846E-1,-1.089747429E0,9.748708725E0
7.926334845E0,-6.020902395E-1,-1.083876371E0,9.756518364E0
7.976334845E0,-5.946785808E-1,-1.068330765E0,9.742470741E0
8.026334845E0,-5.893329978E-1,-1.066091299E0,9.818344116E0
8.076334845E0,-6.464763284E-1,-1.087398052E0,9.726938248E0
8.126334845E0,-6.020147800E-1,-1.056488752E0,9.730722427E0
8.176334845E0,-6.225387454E-1,-1.081163645E0,9.727193832E0
8.226334845E0,-6.284409761E-1,-1.083684564E0,9.749345779E0
8.276334845E0,-5.800408721E-1,-1.087503910E0,9.772751808E0
8.326334845E0,-5.913298726E-1,-1.074626923E0,9.763690948E0
8.376334845E0,-5.933609009E-1,-1.050086856E0,9.747034073E0
8.426334845E0,-5.887760520E-1,-1.077053547E0,9.763873100E0
8.476334845E0,-6.125630140E-1,-1.101061225E0,9.752283096E0
8.526334845E0,-6.317763925E-1,-1.101900578E0,9.773034096E0
8.576334845E0,-6.152280569E-1,-1.060867310E0,9.749858856E0
8.626334845E0,-5.763969421E-1,-1.058263540E0,9.759694099E0
8.676334845E0,-5.905059576E-1,-1.061114073E0,9.753492355E0
8.726334845E0,-6.483825445E-1,-1.094460249E0,9.755506516E0
8.776334845E0,-6.154335141E-1,-1.106816769E0,9.772491455E0
8.826334845E0,-5.616457462E-1,-1.069299340E0,9.751399994E0
8.876334845E0,-5.814725757E-1,-1.060230017E0,9.769335747E0
8.926334845E0,-6.459982395E-1,-1.094047785E0,9.737458229E0
8.976334845E0,-6.123951674E-1,-1.058457613E0,9.830705643E0
