"Time (s)","Pressure (hPa)"
9.221817900E-2,9.775254517E2
1.422181790E-1,9.775254517E2
1.922181790E-1,9.775253906E2
2.422181790E-1,9.775253906E2
2.922181790E-1,9.775253906E2
3.422181790E-1,9.775253906E2
3.922181790E-1,9.775253906E2
4.422181790E-1,9.775254517E2
4.922181790E-1,9.775254517E2
5.422181790E-1,9.775255127E2
5.922181790E-1,9.775255127E2
6.422181790E-1,9.775255737E2
6.922181790E-1,9.775255737E2
7.422181790E-1,9.775256348E2
7.922181790E-1,9.775256348E2
8.422181790E-1,9.775256348E2
8.922181790E-1,9.775256348E2
9.422181790E-1,9.775256348E2
9.922181790E-1,9.775256348E2
1.042218179E0,9.775258789E2
1.092218179E0,9.775258789E2
1.142218179E0,9.775259399E2
1.192218179E0,9.775259399E2
1.242218179E0,9.775260010E2
1.292218179E0,9.775260010E2
1.342218179E0,9.775260620E2
1.392218179E0,9.775260620E2
1.442218179E0,9.775261230E2
1.492218179E0,9.775261230E2
1.542218179E0,9.775261841E2
1.592218179E0,9.775261841E2
1.642218179E0,9.775261841E2
1.692218179E0,9.775261841E2
1.742218179E0,9.775262451E2
1.792218179E0,9.775262451E2
1.842218179E0,9.775262451E2
1.892218179E0,9.775262451E2
1.942218179E0,9.775263062E2
1.992218179E0,9.775263062E2
2.042218179E0,9.775263062E2
2.092218179E0,9.775263062E2
2.142218179E0,9.775263062E2
2.192218179E0,9.775263062E2
2.242218179E0,9.775263062E2
2.292218179E0,9.775263062E2
2.342218179E0,9.775264282E2
2.392218179E0,9.775264282E2
2.442218179E0,9.775264893E2
2.492218179E0,9.775264893E2
2.542218179E0,9.775266113E2
2.592218179E0,9.775266113E2
2.642218179E0,9.775266113E2
2.692218179E0,9.775266113E2
2.742218179E0,9.775266113E2
2.792218179E0,9.775266113E2
2.842218179E0,9.775267334E2
2.892218179E0,9.775267334E2
2.942218179E0,9.775267944E2
2.992218179E0,9.775267944E2
3.042218179E0,9.775267944E2
3.092218179E0,9.775267944E2
3.142218179E0,9.775269775E2
3.192218179E0,9.775271606E2
3.242218179E0,9.775272827E2
3.292218179E0,9.775272827E2
3.342218179E0,9.775273438E2
3.392218179E0,9.775274048E2
